Date,open,high,low,close,changes
2023-11-23 21:45:00,1148.6,1148.6,1148.4,1148.4,
2023-11-23 22:00:00,,,,,
2023-11-23 22:15:00,,,,,
2023-11-23 22:30:00,,,,,
2023-11-23 22:45:00,,,,,
2023-11-23 23:00:00,,,,,
2023-11-23 23:15:00,1148.4,1148.4,1148.4,1148.4,
2023-11-23 23:30:00,1149.2,1149.2,1149.2,1149.2,79.99999999999545
2023-11-23 23:45:00,,,,,
2023-11-24 00:00:00,,,,,
2023-11-24 00:15:00,,,,,
2023-11-24 00:30:00,,,,,
2023-11-24 00:45:00,,,,,
2023-11-24 01:00:00,,,,,
2023-11-24 01:15:00,,,,,
2023-11-24 01:30:00,,,,,
2023-11-24 01:45:00,,,,,
2023-11-24 02:00:00,,,,,
2023-11-24 02:15:00,,,,,
2023-11-24 02:30:00,,,,,
2023-11-24 02:45:00,,,,,
2023-11-24 03:00:00,,,,,
2023-11-24 03:15:00,,,,,
2023-11-24 03:30:00,,,,,
2023-11-24 03:45:00,,,,,
2023-11-24 04:00:00,,,,,
2023-11-24 04:15:00,,,,,
2023-11-24 04:30:00,,,,,
2023-11-24 04:45:00,,,,,
2023-11-24 05:00:00,,,,,
2023-11-24 05:15:00,,,,,
2023-11-24 05:30:00,,,,,
2023-11-24 05:45:00,,,,,
2023-11-24 06:00:00,,,,,
2023-11-24 06:15:00,,,,,
2023-11-24 06:30:00,,,,,
2023-11-24 06:45:00,,,,,
2023-11-24 07:00:00,,,,,
2023-11-24 07:15:00,,,,,
2023-11-24 07:30:00,,,,,
2023-11-24 07:45:00,,,,,
2023-11-24 08:00:00,,,,,
2023-11-24 08:15:00,,,,,
2023-11-24 08:30:00,,,,,
2023-11-24 08:45:00,,,,,
2023-11-24 09:00:00,,,,,
2023-11-24 09:15:00,,,,,
2023-11-24 09:30:00,,,,,
2023-11-24 09:45:00,,,,,
2023-11-24 10:00:00,,,,,
2023-11-24 10:15:00,,,,,
2023-11-24 10:30:00,1151.4,1151.4,1151.4,1151.4,
2023-11-24 10:45:00,1153.0,1153.0,1153.0,1153.0,159.9999999999909
2023-11-24 11:00:00,1151.6,1151.6,1151.6,1151.6,-140.0000000000091
2023-11-24 11:15:00,1151.7,1151.7,1151.7,1151.7,10.000000000013642
2023-11-24 11:30:00,1151.6,1151.6,1151.6,1151.6,-10.000000000013642
2023-11-24 11:45:00,1151.0,1151.0,1151.0,1151.0,-59.999999999990905
2023-11-24 12:00:00,1150.1,1150.1,1150.1,1150.1,-90.0000000000091
2023-11-24 12:15:00,1150.1,1150.1,1150.1,1150.1,0.0
2023-11-24 12:30:00,1150.5,1150.5,1150.5,1150.5,40.000000000009095
2023-11-24 12:45:00,1149.9,1149.9,1149.9,1149.9,-59.999999999990905
